,TOB01784,TOB01791,TOB0901,TOB1086,TOB1170,TOB1213,TOB1458,TOB1567,TOB1578,TOB1751
Monocytes_EPIC,0.105,0.113,0.104,0.095,0.060,0.092,0.065,0.131,0.083,0.121
B-cells_EPIC,0.000,0.039,0.765,0.000,0.000,0.015,0.003,0.034,0.030,0.000
CD4T-cells_EPIC,0.121,0.126,0.120,0.093,0.034,0.130,0.160,0.136,0.149,0.197
NK-cells_EPIC,0.113,0.055,0.000,0.081,0.134,0.082,0.043,0.071,0.063,0.011
CD8T-cells_EPIC,0.000,0.073,0.000,0.043,0.110,0.032,0.000,0.028,0.063,0.025
Neutrophils_EPIC,0.628,0.593,0.000,0.624,0.636,0.624,0.700,0.567,0.596,0.588
Erythrocyte_progenitors,0.007,0.000,0.000,0.053,0.000,0.000,0.017,0.014,0.000,0.030
Adipocytes,0.024,0.000,0.000,0.001,0.000,0.007,0.000,0.003,0.007,0.001
Cortical_neurons,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Hepatocytes,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Lung_cells,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Pancreatic_beta_cells,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Pancreatic_acinar_cells,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Pancreatic_duct_cells,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Vascular_endothelial_cells,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Colon_epithelial_cells,0.000,0.000,0.011,0.000,0.002,0.000,0.001,0.000,0.000,0.000
Left_atrium,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Bladder,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Breast,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000
Head_and_neck_larynx,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000
Kidney,0.001,0.000,0.000,0.009,0.000,0.006,0.005,0.016,0.008,0.026
Prostate,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.001
Thyroid,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Upper_GI,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Uterus_cervix,0.000,0.000,0.000,0.000,0.021,0.000,0.000,0.000,0.000,0.000
