,pbmc_20m_1,pbmc_10m_1,pbmc_5m_1,pbmc_2m_1,pbmc_1m_1,pbmc_500k_1,pbmc_200k_1
Monocytes_EPIC,0.140,0.139,0.130,0.128,0.065,0.125,0.284
B-cells_EPIC,0.092,0.086,0.099,0.094,0.098,0.031,0.050
CD4T-cells_EPIC,0.345,0.350,0.341,0.339,0.310,0.353,0.351
NK-cells_EPIC,0.193,0.194,0.203,0.183,0.193,0.236,0.044
CD8T-cells_EPIC,0.197,0.193,0.187,0.193,0.205,0.255,0.242
Neutrophils_EPIC,0.002,0.004,0.020,0.007,0.052,0.000,0.030
Erythrocyte_progenitors,0.031,0.034,0.020,0.043,0.068,0.000,0.000
Adipocytes,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Cortical_neurons,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Hepatocytes,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Lung_cells,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Pancreatic_beta_cells,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Pancreatic_acinar_cells,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Pancreatic_duct_cells,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Vascular_endothelial_cells,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Colon_epithelial_cells,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Left_atrium,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Bladder,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Breast,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Head_and_neck_larynx,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Kidney,0.000,0.001,0.000,0.013,0.009,0.000,0.000
Prostate,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Thyroid,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Upper_GI,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Uterus_cervix,0.000,0.000,0.000,0.000,0.000,0.000,0.000
