,FS43705317.pbmeth.combined.shifted.filtered,FS43705438.pbmeth.combined.shifted.filtered,FS43705486.pbmeth.combined.shifted.filtered,FS43705515.pbmeth.combined.shifted.filtered,FS43705553.pbmeth.combined.shifted.filtered,FS43705621.pbmeth.combined.shifted.filtered,FS43705626.pbmeth.combined.shifted.filtered,FS43705637.pbmeth.combined.shifted.filtered,FS43705655.pbmeth.combined.shifted.filtered,FS43705671.pbmeth.combined.shifted.filtered,FS43705695.pbmeth.combined.shifted.filtered,FS43705696.pbmeth.combined.shifted.filtered,FS43706193.pbmeth.combined.shifted.filtered,FS43706207.pbmeth.combined.shifted.filtered,FS43706275.pbmeth.combined.shifted.filtered,FS43706318.pbmeth.combined.shifted.filtered,FS43706327.pbmeth.combined.shifted.filtered,FS43706369.pbmeth.combined.shifted.filtered,FS43706371.pbmeth.combined.shifted.filtered,FS43706390.pbmeth.combin.shift.filtered,FS43706397.pbmeth.combin.shift.filtered,FS43706406.pbmeth.combin.shift.filtered,FS43706421.pbmeth.combin.shift.filtered,FS43706450.pbmeth.combin.shift.filtered,FS43706465.pbmeth.combin.shift.filtered,m84088_240919_044341_s1.pbmeth.combin.shift.filtered
Monocytes_EPIC,0.170,0.253,0.161,0.013,0.213,0.234,0.151,0.349,0.136,0.139,0.188,0.288,0.143,0.151,0.152,0.196,0.166,0.137,0.090,0.258,0.068,0.172,0.209,0.392,0.153,0.152
B-cells_EPIC,0.071,0.134,0.085,0.180,0.016,0.043,0.075,0.078,0.066,0.115,0.039,0.083,0.087,0.082,0.167,0.037,0.165,0.076,0.040,0.075,0.104,0.003,0.023,0.025,0.123,0.000
CD4T-cells_EPIC,0.381,0.349,0.284,0.518,0.349,0.450,0.470,0.388,0.543,0.537,0.548,0.394,0.459,0.345,0.285,0.535,0.420,0.507,0.325,0.374,0.620,0.429,0.225,0.339,0.585,0.602
NK-cells_EPIC,0.197,0.064,0.217,0.000,0.278,0.130,0.132,0.124,0.098,0.148,0.160,0.204,0.110,0.169,0.025,0.114,0.210,0.106,0.127,0.144,0.135,0.203,0.193,0.181,0.108,0.036
CD8T-cells_EPIC,0.163,0.179,0.113,0.135,0.104,0.122,0.149,0.038,0.084,0.011,0.049,0.000,0.083,0.214,0.196,0.059,0.000,0.125,0.391,0.099,0.003,0.133,0.337,0.005,0.000,0.072
Neutrophils_EPIC,0.000,0.000,0.019,0.008,0.000,0.000,0.000,0.007,0.007,0.012,0.000,0.000,0.037,0.000,0.025,0.000,0.000,0.000,0.000,0.000,0.008,0.003,0.000,0.000,0.000,0.043
Erythrocyte_progenitors,0.004,0.000,0.041,0.014,0.011,0.017,0.015,0.005,0.047,0.034,0.000,0.007,0.048,0.002,0.063,0.011,0.039,0.039,0.000,0.014,0.027,0.057,0.000,0.015,0.024,0.095
Adipocytes,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.006,0.000,0.006,0.003,0.000,0.009,0.000,0.027,0.000,0.002,0.018,0.014,0.001,0.000,0.013,0.007,0.000,0.000
Cortical_neurons,0.000,0.000,0.029,0.041,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.028,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Hepatocytes,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
