cg08169020,chr14:68790171-68790172 - 2bp, 1CpGs: 20366646-20366647
cg25913761,chr15:90184328-90184329 - 2bp, 1CpGs: 21588205-21588206
cg26955540,chr15:90184338-90184339 - 2bp, 1CpGs: 21588206-21588207
cg25170017,chr11:64877015-64877016 - 2bp, 1CpGs: 17066465-17066466
cg12827637,chr14:68790074-68790075 - 2bp, 1CpGs: 20366638-20366639
cg19442545,chr10:73773673-73773674 - 2bp, 1CpGs: 15778937-15778938
cg15838173,chr10:73773642-73773643 - 2bp, 1CpGs: 15778934-15778935
cg23231163,chr10:73773592-73773593 - 2bp, 1CpGs: 15778932-15778933
cg04858631,chr10:72275812-72275813 - 2bp, 1CpGs: 15762592-15762593
cg19442545,chr10:73773673-73773674 - 2bp, 1CpGs: 15778937-15778938
cg15838173,chr10:73773642-73773643 - 2bp, 1CpGs: 15778934-15778935
cg10560079,chr2:190534080-190534081 - 2bp, 1CpGs: 4051076-4051077
cg11845111,chr2:190534030-190534031 - 2bp, 1CpGs: 4051074-4051075
cg27211696,chr2:190534043-190534044 - 2bp, 1CpGs: 4051075-4051076
cg00982136,chr2:200861416-200861417 - 2bp, 1CpGs: 4123582-4123583
cg22017733,chr5:163509447-163509448 - 2bp, 1CpGs: 9085466-9085467
cg26460530,chr22:39523062-39523063 - 2bp, 1CpGs: 27630598-27630599
cg13677741,chr1:235867796-235867797 - 2bp, 1CpGs: 2237792-2237793
cg22879098,chr5:672730-672731 - 2bp, 1CpGs: 7762063-7762064
cg24082121,chr5:672757-672758 - 2bp, 1CpGs: 7762067-7762068
cg09642825,chr16:87382624-87382625 - 2bp, 1CpGs: 22790147-22790148
cg01424562,chr14:68789960-68789961 - 2bp, 1CpGs: 20366627-20366628
cg15376996,chr22:50474126-50474127 - 2bp, 1CpGs: 27843746-27843747
cg14789659,chr10:62049314-62049315 - 2bp, 1CpGs: 15663221-15663222
cg00928816,chr10:62049339-62049340 - 2bp, 1CpGs: 15663222-15663223
cg20746552,chr10:62049349-62049350 - 2bp, 1CpGs: 15663223-15663224
cg16389209,chr10:62049362-62049363 - 2bp, 1CpGs: 15663225-15663226
cg19300307,chr13:98484326-98484327 - 2bp, 1CpGs: 19727776-19727777
cg11895835,chr5:111742779-111742780 - 2bp, 1CpGs: 8652727-8652728
cg03419014,chr21:36990442-36990443 - 2bp, 1CpGs: 27053311-27053312
cg14785464,chr21:36990425-36990426 - 2bp, 1CpGs: 27053308-27053309
cg06167719,chr21:36990427-36990428 - 2bp, 1CpGs: 27053309-27053310
cg09037712,chr21:36990454-36990455 - 2bp, 1CpGs: 27053312-27053313
cg06340704,chr13:97225163-97225164 - 2bp, 1CpGs: 19713638-19713639
cg12474798,chr10:62806012-62806013 - 2bp, 1CpGs: 15668867-15668868
cg20684110,chr10:62805990-62805991 - 2bp, 1CpGs: 15668865-15668866
cg01005506,chr10:62806008-62806009 - 2bp, 1CpGs: 15668866-15668867
cg18856478,chr1:43348687-43348688 - 2bp, 1CpGs: 686281-686282
cg27189395,chr16:89658663-89658664 - 2bp, 1CpGs: 22858317-22858318
cg04043919,chr16:89658683-89658684 - 2bp, 1CpGs: 22858318-22858319
cg26033520,chr10:72244313-72244314 - 2bp, 1CpGs: 15761980-15761981
cg05507654,chr16:88443449-88443450 - 2bp, 1CpGs: 22818721-22818722
cg05056497,chr21:34527150-34527151 - 2bp, 1CpGs: 27023166-27023167
cg25913761,chr15:90184328-90184329 - 2bp, 1CpGs: 21588205-21588206
cg26955540,chr15:90184338-90184339 - 2bp, 1CpGs: 21588206-21588207
cg24275356,chr6:32974764-32974765 - 2bp, 1CpGs: 9679602-9679603
cg26953232,chr6:32974717-32974718 - 2bp, 1CpGs: 9679600-9679601
cg00936790,chr8:29170327-29170328 - 2bp, 1CpGs: 12786484-12786485
cg05258935,chr19:38596283-38596284 - 2bp, 1CpGs: 25607620-25607621
cg12474798,chr10:62806012-62806013 - 2bp, 1CpGs: 15668867-15668868
cg20684110,chr10:62805990-62805991 - 2bp, 1CpGs: 15668865-15668866
cg01005506,chr10:62806008-62806009 - 2bp, 1CpGs: 15668866-15668867
cg03419014,chr21:36990442-36990443 - 2bp, 1CpGs: 27053311-27053312
cg14785464,chr21:36990425-36990426 - 2bp, 1CpGs: 27053308-27053309
cg06167719,chr21:36990427-36990428 - 2bp, 1CpGs: 27053309-27053310
cg09037712,chr21:36990454-36990455 - 2bp, 1CpGs: 27053312-27053313
cg23220823,chr7:45001541-45001542 - 2bp, 1CpGs: 11302508-11302509
cg08857351,chr12:117189645-117189646 - 2bp, 1CpGs: 18822361-18822362
cg02486646,chr12:117189673-117189674 - 2bp, 1CpGs: 18822364-18822365
cg08474651,chr2:200864960-200864961 - 2bp, 1CpGs: 4123745-4123746
cg27395200,chr6:32974933-32974934 - 2bp, 1CpGs: 9679606-9679607
cg07275218,chr6:32974937-32974938 - 2bp, 1CpGs: 9679607-9679608
cg10509607,chr14:99192204-99192205 - 2bp, 1CpGs: 20668089-20668090
cg14855367,chr3:191330519-191330520 - 2bp, 1CpGs: 6149778-6149779
cg23247274,chr13:21176510-21176511 - 2bp, 1CpGs: 19146426-19146427
cg22897141,chr11:64809866-64809867 - 2bp, 1CpGs: 17064670-17064671
cg22879098,chr5:672730-672731 - 2bp, 1CpGs: 7762063-7762064
cg24082121,chr5:672757-672758 - 2bp, 1CpGs: 7762067-7762068
cg03254916,chr1:202009821-202009822 - 2bp, 1CpGs: 1894489-1894490
cg08063160,chr2:237669733-237669734 - 2bp, 1CpGs: 4478866-4478867
cg08425810,chr12:57738775-57738776 - 2bp, 1CpGs: 18342698-18342699
cg09267773,chr16:79768570-79768571 - 2bp, 1CpGs: 22672006-22672007
cg02962602,chr17:82213537-82213538 - 2bp, 1CpGs: 24089953-24089954
cg24275356,chr6:32974764-32974765 - 2bp, 1CpGs: 9679602-9679603
cg26953232,chr6:32974717-32974718 - 2bp, 1CpGs: 9679600-9679601
cg26757820,chr10:74589520-74589521 - 2bp, 1CpGs: 15787612-15787613
cg08832851,chr12:92142046-92142047 - 2bp, 1CpGs: 18566228-18566229
cg03711944,chr11:47355661-47355662 - 2bp, 1CpGs: 16874326-16874327
cg27388962,chr10:4663242-4663243 - 2bp, 1CpGs: 15106881-15106882
cg04913246,chr14:99192293-99192294 - 2bp, 1CpGs: 20668094-20668095
cg10361922,chr17:42773772-42773773 - 2bp, 1CpGs: 23520359-23520360
cg26264318,chr6:32974623-32974624 - 2bp, 1CpGs: 9679598-9679599
cg16416715,chr6:32974581-32974582 - 2bp, 1CpGs: 9679597-9679598
cg08257293,chr20:31720637-31720638 - 2bp, 1CpGs: 26296182-26296183
cg26047334,chr2:217921186-217921187 - 2bp, 1CpGs: 4263813-4263814
cg14057303,chr9:106921553-106921554 - 2bp, 1CpGs: 14581575-14581576
cg26264318,chr6:32974623-32974624 - 2bp, 1CpGs: 9679598-9679599
cg25158622,chr6:32974652-32974653 - 2bp, 1CpGs: 9679599-9679600
cg11975790,chr6:30885831-30885832 - 2bp, 1CpGs: 9648478-9648479
cg25607383,chr6:30885792-30885793 - 2bp, 1CpGs: 9648477-9648478
cg14845962,chr12:57726454-57726455 - 2bp, 1CpGs: 18342234-18342235
cg08367326,chr1:109509388-109509389 - 2bp, 1CpGs: 1199301-1199302
cg16127573,chr11:57764827-57764828 - 2bp, 1CpGs: 16970301-16970302
cg27312961,chr3:191330572-191330573 - 2bp, 1CpGs: 6149779-6149780
cg13506158,chr3:191330588-191330589 - 2bp, 1CpGs: 6149780-6149781
cg27269488,chr3:191330622-191330623 - 2bp, 1CpGs: 6149781-6149782
cg16278496,chr14:97978139-97978140 - 2bp, 1CpGs: 20656390-20656391
cg11798182,chr14:97978176-97978177 - 2bp, 1CpGs: 20656392-20656393
cg15014975,chr1:24931056-24931057 - 2bp, 1CpGs: 438946-438947
cg04221877,chr1:24931024-24931025 - 2bp, 1CpGs: 438944-438945
cg10993442,chr1:24931096-24931097 - 2bp, 1CpGs: 438949-438950
cg24019564,chr1:24931075-24931076 - 2bp, 1CpGs: 438948-438949
cg05043794,chr9:109118604-109118605 - 2bp, 1CpGs: 14601356-14601357
cg09577804,chr10:3193340-3193341 - 2bp, 1CpGs: 15089734-15089735
cg04778755,chr10:3193377-3193378 - 2bp, 1CpGs: 15089736-15089737
cg19331221,chr15:90184795-90184796 - 2bp, 1CpGs: 21588224-21588225
cg18569141,chr15:90184763-90184764 - 2bp, 1CpGs: 21588221-21588222
cg16439823,chr15:90184788-90184789 - 2bp, 1CpGs: 21588223-21588224
cg18675610,chr10:31927383-31927384 - 2bp, 1CpGs: 15393399-15393400
cg22706007,chr10:31927431-31927432 - 2bp, 1CpGs: 15393400-15393401
cg22138735,chr20:64048360-64048361 - 2bp, 1CpGs: 26749566-26749567
cg04055490,chr17:8155694-8155695 - 2bp, 1CpGs: 23036378-23036379
cg08846870,chr19:15457549-15457550 - 2bp, 1CpGs: 25257623-25257624
cg07865091,chr1:43348635-43348636 - 2bp, 1CpGs: 686276-686277
cg17847861,chr19:40466776-40466777 - 2bp, 1CpGs: 25641954-25641955
cg03063309,chr4:24795297-24795298 - 2bp, 1CpGs: 6538988-6538989
cg16402452,chr12:57736072-57736073 - 2bp, 1CpGs: 18342491-18342492
cg11532431,chr7:27130055-27130056 - 2bp, 1CpGs: 11138140-11138141
cg02297709,chr1:160189880-160189881 - 2bp, 1CpGs: 1577425-1577426
cg15926420,chr1:160189882-160189883 - 2bp, 1CpGs: 1577426-1577427
cg24591770,chr1:44617032-44617033 - 2bp, 1CpGs: 703507-703508
cg10661769,chr6:30913707-30913708 - 2bp, 1CpGs: 9648955-9648956
cg12433575,chr6:30913687-30913688 - 2bp, 1CpGs: 9648954-9648955
cg06398251,chr3:184315832-184315833 - 2bp, 1CpGs: 6081369-6081370
cg04462378,chr11:72038714-72038715 - 2bp, 1CpGs: 17203954-17203955
