#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	248956422	812048	230243017	92.4833	32.3769	44.7	55.8
chr10	1	133797422	455904	132652978	99.1446	33.9899	44.4	57.1
chr11	1	135086622	440180	134499883	99.5657	32.5902	44.2	58.3
chr12	1	133275309	436271	133099683	99.8682	32.5809	44.4	58.6
chr13	1	114364328	319279	97881817	85.5877	27.82	44.4	58.4
chr14	1	107043718	304829	90464687	84.5119	27.9293	44.3	57.1
chr15	1	101991189	280755	84482581	82.8332	27.5777	44.5	56.3
chr16	1	90338345	308076	81766577	90.5115	34.3688	44.5	55.3
chr17	1	83257441	273275	82793765	99.4431	32.573	44.5	56.4
chr18	1	80373285	261300	79817994	99.3091	32.2695	44.4	56.3
chr19	1	58617616	197373	58404784	99.6369	33.6463	44.7	54.9
chr2	1	242193529	795278	240239007	99.193	32.7002	44.3	58.6
chr20	1	64444167	226267	63712028	98.8639	34.6226	44.2	55.2
chr21	1	46709983	156164	39986319	85.6055	33.0214	43.8	48.5
chr22	1	50818468	177045	39000354	76.7445	29.8147	44.4	44
chr3	1	198295559	655404	197730543	99.7151	32.6619	44.4	58.7
chr4	1	190214555	688276	189593483	99.6735	35.8867	44.2	54.2
chr5	1	181538259	604010	181143680	99.7826	32.8781	44.3	57.3
chr6	1	170805979	562932	170028812	99.545	32.767	44.3	58.8
chr7	1	159345973	521922	158927143	99.7372	32.7806	44.5	57.8
chr8	1	145138636	482588	144663317	99.6725	33.0347	44.4	58.1
chr9	1	138394717	406142	120837662	87.3138	29.2757	44.4	56.1
chrM	1	16569	1604	16569	100	311.958	27.3	59.2
chrX	1	156040895	464949	154729635	99.1597	29.487	44.1	57.5
chrY	1	57227415	22996	22294398	38.9575	4.25301	43.4	23.2
KI270728.1	1	1872759	4613	1569441	83.8037	22.8671	44	29.5
KI270727.1	1	448248	865	415295	92.6485	18.6596	44.2	15.8
KI270442.1	1	392061	4229	372375	94.9788	100.474	43.3	47.5
KI270729.1	1	280839	2593	269723	96.0419	69.8809	43.1	29.7
GL000225.1	1	211173	14643	211173	100	811.694	45.2	28.6
KI270743.1	1	210658	848	210658	100	37.4997	43.8	45.4
GL000008.2	1	209709	1875	209708	99.9995	83.3102	43	43.6
GL000009.2	1	201709	1709	201611	99.9514	89.1075	43.6	44.6
KI270747.1	1	198735	544	198726	99.9955	30.0138	44.4	26.1
KI270722.1	1	194050	857	194050	100	44.2014	43.5	54.2
GL000194.1	1	191469	1605	191463	99.9969	82.8441	43.7	45
KI270742.1	1	186739	1692	186739	100	82.8869	43.9	37.3
GL000205.2	1	185591	1906	185589	99.9989	104.846	43.6	50.9
GL000195.1	1	182896	1255	182886	99.9945	74.6558	43.8	42.4
