#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	248956422	16010	108947184	43.7615	0.633848	44.7	56
chr10	1	133797422	9140	64253570	48.023	0.682227	44.3	57.2
chr11	1	135086622	8761	64317484	47.612	0.65595	44.4	58.3
chr12	1	133275309	8686	62954612	47.2365	0.64604	44.5	58.5
chr13	1	114364328	6386	46772641	40.8979	0.556482	44.5	58.2
chr14	1	107043718	6074	42804206	39.9876	0.553428	44.4	57
chr15	1	101991189	5656	40733239	39.938	0.552555	44.6	56.3
chr16	1	90338345	6055	38376874	42.4813	0.665115	44.5	55.1
chr17	1	83257441	5474	39142202	47.0135	0.644805	44.3	56.3
chr18	1	80373285	5203	37591691	46.7714	0.656509	44.4	56.3
chr19	1	58617616	3981	28576916	48.7514	0.684749	44.8	54.9
chr2	1	242193529	15798	114016684	47.0767	0.642374	44.3	58.5
chr20	1	64444167	4578	31260806	48.5084	0.704378	44.4	55.2
chr21	1	46709983	3162	18893163	40.4478	0.660827	44	48.5
chr22	1	50818468	3411	18347019	36.1031	0.5695	44.3	44.9
chr3	1	198295559	12962	92136369	46.4642	0.639276	44.4	58.8
chr4	1	190214555	13699	89202553	46.8958	0.70956	44.2	54.2
chr5	1	181538259	11976	85436168	47.0623	0.651299	44.3	57.3
chr6	1	170805979	11203	80326994	47.0282	0.648566	44.2	58.8
chr7	1	159345973	10377	75232053	47.213	0.646606	44.5	57.7
chr8	1	145138636	9609	68754564	47.3716	0.657172	44.5	58.1
chr9	1	138394717	8190	57852039	41.8022	0.579202	44.4	56.1
chrM	1	16569	43	16568	99.994	6.81942	26.6	59.4
chrX	1	156040895	9449	69491293	44.534	0.601385	44.2	57.3
chrY	1	57227415	389	1996870	3.48936	0.0711414	43.4	22.2
KI270728.1	1	1872759	85	576899	30.8048	0.445055	44.7	31.8
KI270727.1	1	448248	20	119755	26.7162	0.429595	45.3	13.8
KI270442.1	1	392061	87	331729	84.6116	1.94788	41.4	49.9
KI270729.1	1	280839	53	154462	55.0002	1.26096	44.6	24.2
GL000225.1	1	211173	314	175033	82.8861	18.2644	45.1	28.3
KI270743.1	1	210658	14	60100	28.5297	0.419039	45.5	49.1
GL000008.2	1	209709	30	115548	55.0992	1.10583	44	43.7
GL000009.2	1	201709	24	132089	65.4849	1.19156	46.9	48.5
KI270747.1	1	198735	11	67709	34.07	0.417777	44.6	20.8
KI270722.1	1	194050	22	150213	77.4094	1.17133	42.9	55.3
GL000194.1	1	191469	31	169198	88.3684	1.99315	44.1	52.5
KI270742.1	1	186739	41	164839	88.2724	2.34486	44.5	39.9
GL000205.2	1	185591	25	106567	57.4203	1.17311	43.4	40.4
GL000195.1	1	182896	23	141716	77.4845	1.37179	44.6	32.2
KI270736.1	1	181920	67	129657	71.2714	4.07482	41.5	21.6
KI270733.1	1	179772	185	113710	63.2523	9.05423	40.3	24.1
GL000224.1	1	179693	80	139690	77.7381	4.07828	41.7	47.5
GL000219.1	1	179198	22	128232	71.5588	1.29173	46.2	52.5
KI270719.1	1	176845	16	84083	47.5462	0.877582	44.7	37.8
GL000216.2	1	176608	79	159279	90.1879	2.97726	41.4	25.5
KI270712.1	1	176043	15	83601	47.489	0.678465	40.7	31.7
KI270706.1	1	175055	15	93158	53.2164	0.701031	43.7	52.9
KI270725.1	1	172810	16	87953	50.8958	0.609097	43.1	35.9
KI270744.1	1	168472	42	76412	45.3559	1.38256	42.4	38.1
KI270734.1	1	165050	26	35346	21.4153	0.821333	47	19.6
GL000213.1	1	164239	3	19415	11.8212	0.12013	47.4	40
GL000220.1	1	161802	239	95580	59.0722	15.6253	41.4	12.6
KI270715.1	1	161471	8	49063	30.385	0.383128	45.6	16.2
GL000218.1	1	161147	12	79002	49.0248	0.719703	43.7	53.4
KI270749.1	1	158759	18	89233	56.2066	0.906928	41.2	49.4
KI270741.1	1	157432	4	21909	13.9165	0.142474	41.1	20
GL000221.1	1	155397	20	114716	73.8212	1.31892	44	18.4
KI270716.1	1	153799	14	87322	56.7767	1.01254	42.1	18.9
KI270731.1	1	150754	9	38249	25.3718	0.283236	45.6	18.7
KI270751.1	1	150742	28	104729	69.4757	2.22976	41.5	35
KI270750.1	1	148850	17	72453	48.6752	0.876023	43.2	44.9
KI270519.1	1	138126	24	89272	64.6308	1.39002	45.9	49.2
GL000214.1	1	137718	42	126380	91.7672	3.39158	44.6	29.3
KI270708.1	1	127682	6	57682	45.1763	0.752103	46.5	60
KI270730.1	1	112551	14	42057	37.3671	0.602349	39.8	15.6
KI270438.1	1	112505	397	75778	67.3552	32.3588	43	34.3
KI270737.1	1	103838	1	8136	7.83528	0.0783528	45.7	1
KI270721.1	1	100316	1	6621	6.60014	0.0660014	41.4	1
KI270738.1	1	99375	13	56056	56.4086	1.18538	46.4	44.3
KI270748.1	1	93321	5	31179	33.4105	0.505277	38.8	12.6
KI270435.1	1	92983	12	72531	78.0046	1.11546	46.9	46.8
GL000208.1	1	92689	3	22384	24.1496	0.241496	49.1	60
KI270538.1	1	91309	15	56890	62.3049	1.47804	46	56.2
KI270756.1	1	79590	21	54502	68.4785	1.43302	39.2	19.8
KI270739.1	1	73985	1	294	0.397378	0.00397378	52.1	0
KI270757.1	1	71251	23	57886	81.2424	2.85593	44.8	39.7
KI270709.1	1	66860	103	55355	82.7924	14.3004	48.3	29.5
KI270746.1	1	66486	14	47809	71.9084	1.50767	43.8	55
KI270753.1	1	62944	4	33787	53.6779	0.73586	46.4	34.2
